STATE00,COUNTY00,GEOID00,HU00,AREA00,AREALAND00,STATE10,COUNTY10,GEOID10,HU10,TRACT00,TRACT10,PART00,PART10,POP00,POP10,POPPCT00,POPPCT10,CHANGE,MERGE,SPLIT,,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,ARELANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,HU10PT,HUPCT00,HUPCT10
4,13,4013030323,1468,1488786,1488045,4,13,4013618400,1468,30323,618400,W,W,3849,3849,100,100,0,,,,1488786,1488045,1488786,1488045,100,100,100,100,3849,1468,100,100
4,13,4013030324,1145,1413807,1413807,4,13,4013618300,1145,30324,618300,W,W,3026,3026,100,100,0,,,,1413807,1413807,1413807,1413807,100,100,100,100,3026,1145,100,100
4,13,4013030325,1467,2241319,2241319,4,13,4013614400,1477,30325,614400,W,P,3544,3567,100,99.36,0.64,,,,2249763,2249763,2241319,2241319,100,100,99.62,99.62,3544,1467,100,99.32
4,13,4013030326,1648,2784457,2781244,4,13,4013618000,1648,30326,618000,W,W,4555,4555,100,100,0,,,,2784457,2781244,2784457,2781244,100,100,100,100,4555,1648,100,100
4,13,4013030327,1714,1507495,1507495,4,13,4013618500,1714,30327,618500,W,W,3647,3647,100,100,0,,,,1507495,1507495,1507495,1507495,100,100,100,100,3647,1714,100,100
4,13,4013030328,3055,3382352,3382352,4,13,4013614600,3055,30328,614600,W,W,6628,6628,100,100,0,,,,3382352,3382352,3382352,3382352,100,100,100,100,6628,3055,100,100
4,13,4013030329,2568,325110759,321217842,4,13,4013610000,2568,30329,610000,P,P,7044,7044,100,100,0,,,,324993459,321100691,324906563,321013795,99.94,99.94,99.97,99.97,7044,2568,100,100
4,13,4013030329,2568,325110759,321217842,4,13,4013610800,1306,30329,610800,P,P,7044,3505,0,0,0,,,,52233803,52148007,204047,204047,0.06,0.06,0.39,0.39,0,0,0,0
4,13,4013030329,2568,325110759,321217842,4,25,4025001402,2425,30329,1402,P,P,7044,3496,0,0,0,,,,2722294907,2719460361,149,0,0,0,0,0,0,0,0,0
4,13,4013030330,2170,2588575,2588575,4,13,4013619500,2170,30330,619500,W,W,5092,5092,100,100,0,,,,2588575,2588575,2588575,2588575,100,100,100,100,5092,2170,100,100
4,13,4013030331,788,2590877,2578785,4,13,4013619600,788,30331,619600,W,W,1912,1912,100,100,0,,,,2590877,2578785,2590877,2578785,100,100,100,100,1912,788,100,100
4,13,4013030332,1497,1408303,1408303,4,13,4013619700,1497,30332,619700,W,W,3443,3443,100,100,0,,,,1408303,1408303,1408303,1408303,100,100,100,100,3443,1497,100,100
4,13,4013030333,3802,26963395,26764975,4,13,4013615200,3802,30333,615200,W,W,5386,5386,100,100,0,,,,26963395,26764975,26963395,26764975,100,100,100,100,5386,3802,100,100
4,13,4013030334,1969,2475482,2475482,4,13,4013616700,1969,30334,616700,W,W,4738,4738,100,100,0,,,,2475482,2475482,2475482,2475482,100,100,100,100,4738,1969,100,100
4,13,4013030335,2353,2469401,2469401,4,13,4013616800,2353,30335,616800,W,W,5595,5595,100,100,0,,,,2469401,2469401,2469401,2469401,100,100,100,100,5595,2353,100,100
4,13,4013030336,1281,1227917,1227917,4,13,4013616200,1281,30336,616200,W,W,3219,3219,100,100,0,,,,1227917,1227917,1227917,1227917,100,100,100,100,3219,1281,100,100
4,13,4013030337,3055,3041666,3039170,4,13,4013616400,3055,30337,616400,W,W,5701,5701,100,100,0,,,,3041666,3039170,3041666,3039170,100,100,100,100,5701,3055,100,100
4,13,4013030338,2853,14374366,14335332,4,13,4013614200,1991,30338,614200,P,P,6719,4891,0,0,0,,,,5224739,5214997,674,674,0,0,0.01,0.01,0,0,0,0
4,13,4013030338,2853,14374366,14335332,4,13,4013614300,1335,30338,614300,P,W,6719,3124,46.5,100,53.5,,,,12977399,12938365,12977399,12938365,90.28,90.26,100,100,3124,1335,46.79,100
4,13,4013030338,2853,14374366,14335332,4,13,4013614400,1477,30338,614400,P,P,6719,3567,0.34,0.64,0.3,,,,2249763,2249763,8444,8444,0.06,0.06,0.38,0.38,23,10,0.35,0.68
4,13,4013030338,2853,14374366,14335332,4,13,4013616100,1508,30338,616100,P,W,6719,3572,53.16,100,46.84,,,,1387849,1387849,1387849,1387849,9.66,9.68,100,100,3572,1508,52.86,100
4,13,4013030339,1105,2386312,2382874,4,13,4013617900,1105,30339,617900,W,W,2691,2691,100,100,0,,,,2386312,2382874,2386312,2382874,100,100,100,100,2691,1105,100,100
4,13,4013030340,2834,2572988,2570008,4,13,4013617600,2834,30340,617600,W,P,6106,6106,100,100,0,,,,2573003,2570023,2572988,2570008,100,100,100,100,6106,2834,100,100
4,13,4013030341,2252,2616776,2613232,4,13,4013615500,2252,30341,615500,W,P,2817,2817,100,100,0,,,,2617223,2613679,2616776,2613232,100,100,99.98,99.98,2817,2252,100,100
4,13,4013030342,15968,172549579,172351352,4,13,4013610800,1306,30342,610800,P,P,40790,3505,0,0,0,,,,52233803,52148007,288,288,0,0,0,0,0,0,0,0
4,13,4013030342,15968,172549579,172351352,4,13,4013611300,2189,30342,611300,P,P,40790,4659,11.42,100,88.58,,,,56179370,56145529,56177292,56143451,32.56,32.57,100,100,4659,2189,13.71,100
4,13,4013030342,15968,172549579,172351352,4,13,4013611400,2272,30342,611400,P,P,40790,6232,15.28,100,84.72,,,,5360576,5360576,5333369,5333369,3.09,3.09,99.49,99.49,6232,2272,14.23,100
4,13,4013030342,15968,172549579,172351352,4,13,4013611500,1973,30342,611500,P,W,40790,5639,13.82,100,86.18,,,,5608846,5608846,5608846,5608846,3.25,3.25,100,100,5639,1973,12.36,100
4,13,4013030342,15968,172549579,172351352,4,13,4013611600,1104,30342,611600,P,W,40790,3062,7.51,100,92.49,,,,4476768,4476768,4476768,4476768,2.59,2.6,100,100,3062,1104,6.91,100
4,13,4013030342,15968,172549579,172351352,4,13,4013611900,944,30342,611900,P,W,40790,3171,7.77,100,92.23,,,,10564453,10564453,10564453,10564453,6.12,6.13,100,100,3171,944,5.91,100
4,13,4013030342,15968,172549579,172351352,4,13,4013612000,1052,30342,612000,P,W,40790,2710,6.64,100,93.36,,,,14697763,14693481,14697763,14693481,8.52,8.53,100,100,2710,1052,6.59,100
4,13,4013030342,15968,172549579,172351352,4,13,4013612200,1583,30342,612200,P,W,40790,3383,8.29,100,91.71,,,,22976505,22973887,22976505,22973887,13.32,13.33,100,100,3383,1583,9.91,100
4,13,4013030342,15968,172549579,172351352,4,13,4013612300,3106,30342,612300,P,W,40790,7278,17.84,100,82.16,,,,23402934,23252751,23402934,23252751,13.56,13.49,100,100,7278,3106,19.45,100
4,13,4013030342,15968,172549579,172351352,4,13,4013612400,2716,30342,612400,P,P,40790,6840,0,0,0,,,,55886574,55860096,25775412,25768109,14.94,14.95,46.12,46.13,0,0,0,0
4,13,4013030342,15968,172549579,172351352,4,13,4013614500,1745,30342,614500,P,W,40790,4656,11.41,100,88.59,,,,3535949,3535949,3535949,3535949,2.05,2.05,100,100,4656,1745,10.93,100
4,13,4013030343,5282,28718479,28709127,4,13,4013612900,988,30343,612900,P,P,11518,2409,20.67,98.84,78.17,,,,2475511,2475511,2452675,2452675,8.54,8.54,99.08,99.08,2381,974,18.44,98.58
4,13,4013030343,5282,28718479,28709127,4,13,4013613000,1226,30343,613000,P,W,11518,2945,25.57,100,74.43,,,,10280006,10270654,10280006,10270654,35.8,35.77,100,100,2945,1226,23.21,100
4,13,4013030343,5282,28718479,28709127,4,13,4013613100,1641,30343,613100,P,W,11518,2640,22.92,100,77.08,,,,5600865,5600865,5600865,5600865,19.5,19.51,100,100,2640,1641,31.07,100
4,13,4013030343,5282,28718479,28709127,4,13,4013613200,1441,30343,613200,P,W,11518,3552,30.84,100,69.16,,,,10384933,10384933,10384933,10384933,36.16,36.17,100,100,3552,1441,27.28,100
4,13,4013030344,1574,2742963,2742963,4,13,4013613900,2075,30344,613900,P,P,4398,6154,0,0,0,,,,4177816,4177816,15880,15880,0.58,0.58,0.38,0.38,0,0,0,0
4,13,4013030344,1574,2742963,2742963,4,13,4013614000,1574,30344,614000,P,W,4398,4398,100,100,0,,,,2727083,2727083,2727083,2727083,99.42,99.42,100,100,4398,1574,100,100
4,13,4013030345,1991,5224065,5214323,4,13,4013614200,1991,30345,614200,W,P,4891,4891,100,100,0,,,,5224739,5214997,5224065,5214323,100,100,99.99,99.99,4891,1991,100,100
4,13,4013030346,2180,3410214,3392000,4,13,4013614100,2180,30346,614100,P,W,5724,5724,100,100,0,,,,3398030,3392000,3398030,3392000,99.64,100,100,100,5724,2180,100,100
4,13,4013030346,2180,3410214,3392000,4,13,4013615700,1214,30346,615700,P,P,5724,2991,0,0,0,,,,2081086,1964395,12184,0,0.36,0,0.59,0,0,0,0,0
4,13,4013030347,1214,2068902,1964395,4,13,4013615700,1214,30347,615700,W,P,2991,2991,100,100,0,,,,2081086,1964395,2068902,1964395,100,100,99.41,100,2991,1214,100,100
4,13,4013030348,2177,2703585,2703585,4,13,4013615800,2177,30348,615800,W,W,4906,4906,100,100,0,,,,2703585,2703585,2703585,2703585,100,100,100,100,4906,2177,100,100
4,13,4013030349,1886,2431619,2431619,4,13,4013615900,1886,30349,615900,W,W,4362,4362,100,100,0,,,,2431619,2431619,2431619,2431619,100,100,100,100,4362,1886,100,100
4,13,4013030350,696,2511187,2511187,4,13,4013616000,696,30350,616000,W,W,2237,2237,100,100,0,,,,2511187,2511187,2511187,2511187,100,100,100,100,2237,696,100,100
4,13,4013030351,1731,2546800,2523129,4,13,4013617600,2834,30351,617600,P,P,3318,6106,0,0,0,,,,2573003,2570023,15,15,0,0,0,0,0,0,0,0
4,13,4013030351,1731,2546800,2523129,4,13,4013617700,1731,30351,617700,P,W,3318,3318,100,100,0,,,,2546785,2523114,2546785,2523114,100,100,100,100,3318,1731,100,100
4,13,4013030352,953,2837450,2837450,4,13,4013617800,953,30352,617800,W,W,2613,2613,100,100,0,,,,2837450,2837450,2837450,2837450,100,100,100,100,2613,953,100,100
4,13,4013030354,2113,1416460,1416460,4,13,4013619800,2113,30354,619800,W,W,4312,4312,100,100,0,,,,1416460,1416460,1416460,1416460,100,100,100,100,4312,2113,100,100
4,13,4013030355,2788,3998319,3998319,4,13,4013617000,2788,30355,617000,W,W,5891,5891,100,100,0,,,,3998319,3998319,3998319,3998319,100,100,100,100,5891,2788,100,100
4,13,4013030356,3413,3102644,3102644,4,13,4013617100,942,30356,617100,P,W,7790,2222,28.52,100,71.48,,,,977413,977413,977413,977413,31.5,31.5,100,100,2222,942,27.6,100
4,13,4013030356,3413,3102644,3102644,4,13,4013617200,1055,30356,617200,P,W,7790,2538,32.58,100,67.42,,,,967369,967369,967369,967369,31.18,31.18,100,100,2538,1055,30.91,100
4,13,4013030356,3413,3102644,3102644,4,13,4013617300,1416,30356,617300,P,W,7790,3030,38.9,100,61.1,,,,1157862,1157862,1157862,1157862,37.32,37.32,100,100,3030,1416,41.49,100
4,13,4013030357,2354,3437759,3437759,4,13,4013619900,2354,30357,619900,W,W,5990,5990,100,100,0,,,,3437759,3437759,3437759,3437759,100,100,100,100,5990,2354,100,100
4,13,4013030358,4533,17614292,17504864,4,13,4013615000,3175,30358,615000,P,W,10013,6630,66.21,100,33.79,,,,15359522,15250094,15359522,15250094,87.2,87.12,100,100,6630,3175,70.04,100
4,13,4013030358,4533,17614292,17504864,4,13,4013615100,1358,30358,615100,P,W,10013,3383,33.79,100,66.21,,,,2254770,2254770,2254770,2254770,12.8,12.88,100,100,3383,1358,29.96,100
4,13,4013030359,2224,2742439,2742439,4,13,4013616900,2224,30359,616900,W,P,4288,4288,100,100,0,,,,2753682,2753682,2742439,2742439,100,100,99.59,99.59,4288,2224,100,100
4,13,4013030360,789,2686802,2683263,4,13,4013616300,789,30360,616300,W,W,2044,2044,100,100,0,,,,2686802,2683263,2686802,2683263,100,100,100,100,2044,789,100,100
4,13,4013030361,2468,2577145,2577145,4,13,4013611800,2468,30361,611800,W,W,6540,6540,100,100,0,,,,2577145,2577145,2577145,2577145,100,100,100,100,6540,2468,100,100
4,13,4013030363,2611,37920128,37909216,4,13,4013613300,2611,30363,613300,W,W,7102,7102,100,100,0,,,,37920128,37909216,37920128,37909216,100,100,100,100,7102,2611,100,100
4,13,4013030364,902,2193743,2193743,4,13,4013612800,902,30364,612800,W,W,2110,2110,100,100,0,,,,2193743,2193743,2193743,2193743,100,100,100,100,2110,902,100,100
4,13,4013030365,981,2308059,2301272,4,13,4013612700,967,30365,612700,P,W,2299,2271,98.78,100,1.22,,,,2285223,2278436,2285223,2278436,99.01,99.01,100,100,2271,967,98.57,100
4,13,4013030365,981,2308059,2301272,4,13,4013612900,988,30365,612900,P,P,2299,2409,1.22,1.16,0.06,,,,2475511,2475511,22836,22836,0.99,0.99,0.92,0.92,28,14,1.43,1.42
4,13,4013030366,1067,1327179,1327179,4,13,4013612600,1067,30366,612600,W,W,2342,2342,100,100,0,,,,1327179,1327179,1327179,1327179,100,100,100,100,2342,1067,100,100
4,13,4013030367,4457,36939963,36920788,4,13,4013612400,2716,30367,612400,P,P,11146,6840,61.37,100,38.63,,,,55886574,55860096,30111162,30091987,81.51,81.5,53.88,53.87,6840,2716,60.94,100
4,13,4013030367,4457,36939963,36920788,4,13,4013612500,1741,30367,612500,P,W,11146,4306,38.63,100,61.37,,,,6822710,6822710,6822710,6822710,18.47,18.48,100,100,4306,1741,39.06,100
4,13,4013030367,4457,36939963,36920788,4,13,4013614900,1548,30367,614900,P,P,11146,3495,0,0,0,,,,5705704,5696580,6091,6091,0.02,0.02,0.11,0.11,0,0,0,0
4,13,4013030368,2412,3088931,2980315,4,13,4013615600,2412,30368,615600,W,W,3776,3776,100,100,0,,,,3088931,2980315,3088931,2980315,100,100,100,100,3776,2412,100,100
4,13,4013030369,1639,2705175,2703428,4,13,4013615300,1630,30369,615300,P,W,2272,2259,99.43,100,0.57,,,,2672345,2670598,2672345,2670598,98.79,98.79,100,100,2259,1630,99.45,100
4,13,4013030369,1639,2705175,2703428,4,13,4013617400,4368,30369,617400,P,P,2272,6813,0.57,0.19,0.38,,,,6822711,6779537,32830,32830,1.21,1.21,0.48,0.48,13,9,0.55,0.21
4,13,4013030371,8070,18722705,18720953,4,13,4013613400,1553,30371,613400,P,P,21373,3937,18.35,99.62,81.27,,,,3912685,3911586,3826259,3825160,20.44,20.43,97.79,97.79,3922,1548,19.18,99.68
4,13,4013030371,8070,18722705,18720953,4,13,4013613500,1737,30371,613500,P,P,21373,4082,19.03,99.66,80.63,,,,2602313,2602313,2573517,2573517,13.75,13.75,98.89,98.89,4068,1733,21.47,99.77
4,13,4013030371,8070,18722705,18720953,4,13,4013613600,1606,30371,613600,P,W,21373,3967,18.56,100,81.44,,,,6371296,6370643,6371296,6370643,34.03,34.03,100,100,3967,1606,19.9,100
4,13,4013030371,8070,18722705,18720953,4,13,4013613700,1765,30371,613700,P,W,21373,5341,24.99,100,75.01,,,,2236793,2236793,2236793,2236793,11.95,11.95,100,100,5341,1765,21.87,100
4,13,4013030371,8070,18722705,18720953,4,13,4013613800,1418,30371,613800,P,W,21373,4075,19.07,100,80.93,,,,3714840,3714840,3714840,3714840,19.84,19.84,100,100,4075,1418,17.57,100
4,13,4013030372,2303,7558917,7558917,4,13,4013611700,2303,30372,611700,W,W,6304,6304,100,100,0,,,,7558917,7558917,7558917,7558917,100,100,100,100,6304,2303,100,100
4,13,4013030373,2075,4161936,4161936,4,13,4013613900,2075,30373,613900,W,P,6154,6154,100,100,0,,,,4177816,4177816,4161936,4161936,100,100,99.62,99.62,6154,2075,100,100
4,13,4013030374,1840,4895937,4895937,4,13,4013611200,1840,30374,611200,P,P,5911,5911,100,100,0,,,,4903426,4903426,4895892,4895892,100,100,99.85,99.85,5911,1840,100,100
4,13,4013030374,1840,4895937,4895937,4,13,4013611400,2272,30374,611400,P,P,5911,6232,0,0,0,,,,5360576,5360576,45,45,0,0,0,0,0,0,0,0
4,13,4013030375,5310,89827343,88928737,4,13,4013610000,2568,30375,610000,P,P,15292,7044,0,0,0,,,,324993459,321100691,65865,65865,0.07,0.07,0.02,0.02,0,0,0,0
4,13,4013030375,5310,89827343,88928737,4,13,4013610800,1306,30375,610800,P,P,15292,3505,22.92,100,77.08,,,,52233803,52148007,52029468,51943672,57.92,58.41,99.61,99.61,3505,1306,24.6,100
4,13,4013030375,5310,89827343,88928737,4,13,4013610900,2097,30375,610900,P,W,15292,6027,39.41,100,60.59,,,,26288732,25476596,26288732,25476596,29.27,28.65,100,100,6027,2097,39.49,100
4,13,4013030375,5310,89827343,88928737,4,13,4013611000,837,30375,611000,P,W,15292,2461,16.09,100,83.91,,,,5609730,5609056,5609730,5609056,6.25,6.31,100,100,2461,837,15.76,100
4,13,4013030375,5310,89827343,88928737,4,13,4013611100,1061,30375,611100,P,W,15292,3270,21.38,100,78.62,,,,5681552,5681552,5681552,5681552,6.32,6.39,100,100,3270,1061,19.98,100
4,13,4013030375,5310,89827343,88928737,4,13,4013611200,1840,30375,611200,P,P,15292,5911,0,0,0,,,,4903426,4903426,7534,7534,0.01,0.01,0.15,0.15,0,0,0,0
4,13,4013030375,5310,89827343,88928737,4,13,4013611300,2189,30375,611300,P,P,15292,4659,0,0,0,,,,56179370,56145529,2078,2078,0,0,0,0,0,0,0,0
4,13,4013030375,5310,89827343,88928737,4,13,4013611400,2272,30375,611400,P,P,15292,6232,0,0,0,,,,5360576,5360576,27162,27162,0.03,0.03,0.51,0.51,0,0,0,0
4,13,4013030375,5310,89827343,88928737,4,13,4013613400,1553,30375,613400,P,P,15292,3937,0.1,0.38,0.28,,,,3912685,3911586,86426,86426,0.1,0.1,2.21,2.21,15,5,0.09,0.32
4,13,4013030375,5310,89827343,88928737,4,13,4013613500,1737,30375,613500,P,P,15292,4082,0.09,0.34,0.25,,,,2602313,2602313,28796,28796,0.03,0.03,1.11,1.11,14,4,0.08,0.23
4,13,4013030377,2979,106264797,106249755,4,13,4013610700,2989,30377,610700,W,P,7171,7193,100,99.69,0.31,,,,106350829,106335787,106264797,106249755,100,100,99.92,99.92,7171,2979,100,99.67
4,13,4013030378,14203,83758586,83703550,4,13,4013610000,2568,30378,610000,P,P,35086,7044,0,0,0,,,,324993459,321100691,21031,21031,0.03,0.03,0.01,0.01,0,0,0,0
4,13,4013030378,14203,83758586,83703550,4,13,4013610100,566,30378,610100,P,W,35086,1322,3.77,100,96.23,,,,21772813,21772813,21772813,21772813,25.99,26.01,100,100,1322,566,3.99,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610200,3754,30378,610200,P,W,35086,7612,21.7,100,78.3,,,,10094806,10087620,10094806,10087620,12.05,12.05,100,100,7612,3754,26.43,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610300,3246,30378,610300,P,W,35086,8959,25.53,100,74.47,,,,7020290,7020290,7020290,7020290,8.38,8.39,100,100,8959,3246,22.85,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610400,1801,30378,610400,P,W,35086,5129,14.62,100,85.38,,,,3381135,3379206,3381135,3379206,4.04,4.04,100,100,5129,1801,12.68,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610500,2606,30378,610500,P,W,35086,6496,18.51,100,81.49,,,,32114570,32097221,32114570,32097221,38.34,38.35,100,100,6496,2606,18.35,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610600,2220,30378,610600,P,W,35086,5546,15.81,100,84.19,,,,9267909,9239337,9267909,9239337,11.07,11.04,100,100,5546,2220,15.63,100
4,13,4013030378,14203,83758586,83703550,4,13,4013610700,2989,30378,610700,P,P,35086,7193,0.06,0.31,0.25,,,,106350829,106335787,86032,86032,0.1,0.1,0.08,0.08,22,10,0.07,0.33
4,13,4013030379,1548,5710856,5701732,4,13,4013614900,1548,30379,614900,P,P,3495,3495,100,100,0,,,,5705704,5696580,5699613,5690489,99.8,99.8,99.89,99.89,3495,1548,100,100
4,13,4013030379,1548,5710856,5701732,4,13,4013616900,2224,30379,616900,P,P,3495,4288,0,0,0,,,,2753682,2753682,11243,11243,0.2,0.2,0.41,0.41,0,0,0,0
4,13,4013030380,1491,14955208,14896402,4,13,4013614700,1491,30380,614700,W,P,2612,2612,100,100,0,,,,14979617,14920811,14955208,14896402,100,100,99.84,99.84,2612,1491,100,100
4,13,4013030400,5022,84731846,84702329,4,13,4013030401,2927,30400,30401,P,W,8178,4283,52.37,100,47.63,,,,26533476,26517655,26533476,26517655,31.31,31.31,100,100,4283,2927,58.28,100
4,13,4013030400,5022,84731846,84702329,4,13,4013030402,2095,30400,30402,P,W,8178,3895,47.63,100,52.37,,,,58198370,58184674,58198370,58184674,68.69,68.69,100,100,3895,2095,41.72,100
4,13,4013040502,2696,20551377,20544309,4,13,4013040502,2696,40502,40502,W,W,4861,4861,100,100,0,,,,20551377,20544309,20551377,20544309,100,100,100,100,4861,2696,100,100
4,13,4013040505,5563,9628456,9626633,4,13,4013040507,4689,40505,40507,P,P,7825,6097,0,0,0,,,,7628004,7611184,1803,1803,0.02,0.02,0.02,0.02,0,0,0,0
4,13,4013040505,5563,9628456,9626633,4,13,4013040512,1162,40505,40512,P,W,7825,1690,21.6,100,78.4,,,,1952396,1952396,1952396,1952396,20.28,20.28,100,100,1690,1162,20.89,100
4,13,4013040505,5563,9628456,9626633,4,13,4013040513,2172,40505,40513,P,P,7825,3031,38.73,100,61.27,,,,3767797,3767797,3766395,3766395,39.12,39.12,99.96,99.96,3031,2172,39.04,100
4,13,4013040505,5563,9628456,9626633,4,13,4013040514,2229,40505,40514,P,W,7825,3104,39.67,100,60.33,,,,3907862,3906039,3907862,3906039,40.59,40.58,100,100,3104,2229,40.07,100
