name,label,predicateType,group,limit,attributes,concept,required
B20001_011E,"Estimate!!Total!!Male!!$20,000 to $22,499",int,B20001,0,"B20001_011EA,B20001_011M,B20001_011MA",NA,NA
B24126_435E,"Estimate!!Total!!Metal furnace operators, tenders, pourers, and casters",int,B24126,0,"B24126_435EA,B24126_435M,B24126_435MA",NA,NA
B08505A_006E,"Estimate!!Total!!Taxicab, motorcycle, bicycle, or other means",int,B08505A,0,"B08505A_006EA,B08505A_006M,B08505A_006MA",NA,NA
B08505A_002E,"Estimate!!Total!!Car, truck, or van - drove alone",int,B08505A,0,"B08505A_002EA,B08505A_002M,B08505A_002MA",NA,NA
B24121_231E,Estimate!!Total!!Dining room and cafeteria attendants and bartender helpers,int,B24121,0,"B24121_231EA,B24121_231M,B24121_231MA",NA,NA
B24126_436E,"Estimate!!Total!!Model makers and patternmakers, metal and plastic",int,B24126,0,"B24126_436EA,B24126_436M,B24126_436MA",NA,NA
B20001_010E,"Estimate!!Total!!Male!!$17,500 to $19,999",int,B20001,0,"B20001_010EA,B20001_010M,B20001_010MA",NA,NA
B08505A_003E,"Estimate!!Total!!Car, truck, or van - carpooled",int,B08505A,0,"B08505A_003EA,B08505A_003M,B08505A_003MA",NA,NA
B24121_230E,"Estimate!!Total!!Food servers, nonrestaurant",int,B24121,0,"B24121_230EA,B24121_230M,B24121_230MA",NA,NA
B06004HPR_001E,Estimate!!Total,int,B06004HPR,0,"B06004HPR_001EA,B06004HPR_001M,B06004HPR_001MA",NA,NA
B24126_437E,"Estimate!!Total!!Molders and molding machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_437EA,B24126_437M,B24126_437MA",NA,NA
B08505A_004E,Estimate!!Total!!Public transportation (excluding taxicab),int,B08505A,0,"B08505A_004EA,B08505A_004M,B08505A_004MA",NA,NA
B25087_011E,Estimate!!Total!!Housing units with a mortgage!!$900 to $999,int,B25087,0,"B25087_011EA,B25087_011M,B25087_011MA",NA,NA
B07401_006E,Estimate!!Total living in area 1 year ago!!25 to 29 years,int,B07401,0,"B07401_006EA,B07401_006M,B07401_006MA",NA,NA
B24121_233E,"Estimate!!Total!!Hosts and hostesses, restaurant, lounge, and coffee shop",int,B24121,0,"B24121_233EA,B24121_233M,B24121_233MA",NA,NA
B08519_026E,"Estimate!!Total!!Car, truck, or van - carpooled!!$65,000 to $74,999",int,B08519,0,"B08519_026EA,B08519_026M,B08519_026MA",NA,NA
B24091_008E,Estimate!!Total!!Federal government workers,int,B24091,0,"B24091_008EA,B24091_008M,B24091_008MA",NA,NA
B25087_012E,"Estimate!!Total!!Housing units with a mortgage!!$1,000 to $1,249",int,B25087,0,"B25087_012EA,B25087_012M,B25087_012MA",NA,NA
B24126_430E,"Estimate!!Total!!Drilling and boring machine tool setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_430EA,B24126_430M,B24126_430MA",NA,NA
B07401_005E,Estimate!!Total living in area 1 year ago!!20 to 24 years,int,B07401,0,"B07401_005EA,B07401_005M,B07401_005MA",NA,NA
B17010A_041E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present!!No related children under 18 years",int,B17010A,0,"B17010A_041EA,B17010A_041M,B17010A_041MA",NA,NA
B24121_232E,Estimate!!Total!!Dishwashers,int,B24121,0,"B24121_232EA,B24121_232M,B24121_232MA",NA,NA
B08519_025E,"Estimate!!Total!!Car, truck, or van - carpooled!!$50,000 to $64,999",int,B08519,0,"B08519_025EA,B08519_025M,B08519_025MA",NA,NA
B24091_007E,Estimate!!Total!!State government workers,int,B24091,0,"B24091_007EA,B24091_007M,B24091_007MA",NA,NA
B08519_023E,"Estimate!!Total!!Car, truck, or van - carpooled!!$25,000 to $34,999",int,B08519,0,"B08519_023EA,B08519_023M,B08519_023MA",NA,NA
B25087_013E,"Estimate!!Total!!Housing units with a mortgage!!$1,250 to $1,499",int,B25087,0,"B25087_013EA,B25087_013M,B25087_013MA",NA,NA
B08505A_007E,Estimate!!Total!!Worked at home,int,B08505A,0,"B08505A_007EA,B08505A_007M,B08505A_007MA",NA,NA
B19001A_011E,"Estimate!!Total!!$50,000 to $59,999",int,B19001A,0,"B19001A_011EA,B19001A_011M,B19001A_011MA",NA,NA
B07401_004E,Estimate!!Total living in area 1 year ago!!18 and 19 years,int,B07401,0,"B07401_004EA,B07401_004M,B07401_004MA",NA,NA
B24126_431E,"Estimate!!Total!!Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_431EA,B24126_431M,B24126_431MA",NA,NA
B24121_235E,Estimate!!Total!!First-line supervisors of housekeeping and janitorial workers,int,B24121,0,"B24121_235EA,B24121_235M,B24121_235MA",NA,NA
B08519_024E,"Estimate!!Total!!Car, truck, or van - carpooled!!$35,000 to $49,999",int,B08519,0,"B08519_024EA,B08519_024M,B08519_024MA",NA,NA
B05007_060E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999,int,B05007,0,"B05007_060EA,B05007_060M,B05007_060MA",NA,NA
B08519_022E,"Estimate!!Total!!Car, truck, or van - carpooled!!$15,000 to $24,999",int,B08519,0,"B08519_022EA,B08519_022M,B08519_022MA",NA,NA
B19001A_010E,"Estimate!!Total!!$45,000 to $49,999",int,B19001A,0,"B19001A_010EA,B19001A_010M,B19001A_010MA",NA,NA
B24126_432E,"Estimate!!Total!!Lathe and turning machine tool setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_432EA,B24126_432M,B24126_432MA",NA,NA
B07401_003E,Estimate!!Total living in area 1 year ago!!5 to 17 years,int,B07401,0,"B07401_003EA,B07401_003M,B07401_003MA",NA,NA
B25087_014E,"Estimate!!Total!!Housing units with a mortgage!!$1,500 to $1,999",int,B25087,0,"B25087_014EA,B25087_014M,B25087_014MA",NA,NA
B24121_234E,"Estimate!!Total!!Food preparation and serving related workers, all other",int,B24121,0,"B24121_234EA,B24121_234M,B24121_234MA",NA,NA
B24126_433E,"Estimate!!Total!!Milling and planing machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_433EA,B24126_433M,B24126_433MA",NA,NA
B24091_009E,Estimate!!Total!!Self-employed in own not incorporated business workers and unpaid family workers,int,B24091,0,"B24091_009EA,B24091_009M,B24091_009MA",NA,NA
B25087_015E,"Estimate!!Total!!Housing units with a mortgage!!$2,000 to $2,499",int,B25087,0,"B25087_015EA,B25087_015M,B25087_015MA",NA,NA
B05007_061E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Naturalized U.S. citizen,int,B05007,0,"B05007_061EA,B05007_061M,B05007_061MA",NA,NA
B08519_021E,"Estimate!!Total!!Car, truck, or van - carpooled!!$10,000 to $14,999",int,B08519,0,"B08519_021EA,B08519_021M,B08519_021MA",NA,NA
B24091_004E,Estimate!!Total!!Private for-profit wage and salary workers!!Self-employed in own incorporated business workers,int,B24091,0,"B24091_004EA,B24091_004M,B24091_004MA",NA,NA
B24121_237E,Estimate!!Total!!Janitors and building cleaners,int,B24121,0,"B24121_237EA,B24121_237M,B24121_237MA",NA,NA
B25087_016E,"Estimate!!Total!!Housing units with a mortgage!!$2,500 to $2,999",int,B25087,0,"B25087_016EA,B25087_016M,B25087_016MA",NA,NA
B08519_020E,"Estimate!!Total!!Car, truck, or van - carpooled!!$1 to $9,999 or loss",int,B08519,0,"B08519_020EA,B08519_020M,B08519_020MA",NA,NA
B05007_062E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1990 to 1999!!Not a U.S. citizen,int,B05007,0,"B05007_062EA,B05007_062M,B05007_062MA",NA,NA
B24091_003E,Estimate!!Total!!Private for-profit wage and salary workers!!Employee of private company workers,int,B24091,0,"B24091_003EA,B24091_003M,B24091_003MA",NA,NA
B24121_236E,"Estimate!!Total!!First-line supervisors of landscaping, lawn service, and groundskeeping workers",int,B24121,0,"B24121_236EA,B24121_236M,B24121_236MA",NA,NA
B07401_008E,Estimate!!Total living in area 1 year ago!!35 to 39 years,int,B07401,0,"B07401_008EA,B07401_008M,B07401_008MA",NA,NA
B25087_017E,"Estimate!!Total!!Housing units with a mortgage!!$3,000 or more",int,B25087,0,"B25087_017EA,B25087_017M,B25087_017MA",NA,NA
B05007_063E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989,int,B05007,0,"B05007_063EA,B05007_063M,B05007_063MA",NA,NA
B24091_006E,Estimate!!Total!!Local government workers,int,B24091,0,"B24091_006EA,B24091_006M,B24091_006MA",NA,NA
B07401_009E,Estimate!!Total living in area 1 year ago!!40 to 44 years,int,B07401,0,"B07401_009EA,B07401_009M,B07401_009MA",NA,NA
B17010A_040E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present!!With related children under 18 years!!5 to 17 years only",int,B17010A,0,"B17010A_040EA,B17010A_040M,B17010A_040MA",NA,NA
B24121_239E,Estimate!!Total!!Pest control workers,int,B24121,0,"B24121_239EA,B24121_239M,B24121_239MA",NA,NA
B19056_003E,Estimate!!Total!!No Supplemental Security Income (SSI),int,B19056,0,"B19056_003EA,B19056_003M,B19056_003MA",NA,NA
B07401_007E,Estimate!!Total living in area 1 year ago!!30 to 34 years,int,B07401,0,"B07401_007EA,B07401_007M,B07401_007MA",NA,NA
B25087_018E,Estimate!!Total!!Housing units without a mortgage,int,B25087,0,"B25087_018EA,B25087_018M,B25087_018MA",NA,NA
B05007_064E,Estimate!!Total!!Latin America!!Central America!!Other Central America!!Entered 1980 to 1989!!Naturalized U.S. citizen,int,B05007,0,"B05007_064EA,B05007_064M,B05007_064MA",NA,NA
B24091_005E,Estimate!!Total!!Private not-for-profit wage and salary workers,int,B24091,0,"B24091_005EA,B24091_005M,B24091_005MA",NA,NA
B24121_238E,Estimate!!Total!!Maids and housekeeping cleaners,int,B24121,0,"B24121_238EA,B24121_238M,B24121_238MA",NA,NA
B24121_228E,"Estimate!!Total!!Counter attendants, cafeteria, food concession, and coffee shop",int,B24121,0,"B24121_228EA,B24121_228M,B24121_228MA",NA,NA
B19001A_004E,"Estimate!!Total!!$15,000 to $19,999",int,B19001A,0,"B19001A_004EA,B19001A_004M,B19001A_004MA",NA,NA
B24121_229E,Estimate!!Total!!Waiters and waitresses,int,B24121,0,"B24121_229EA,B24121_229M,B24121_229MA",NA,NA
B05003A_001E,Estimate!!Total,int,B05003A,0,"B05003A_001EA,B05003A_001M,B05003A_001MA",NA,NA
B19001A_005E,"Estimate!!Total!!$20,000 to $24,999",int,B19001A,0,"B19001A_005EA,B19001A_005M,B19001A_005MA",NA,NA
B19001A_006E,"Estimate!!Total!!$25,000 to $29,999",int,B19001A,0,"B19001A_006EA,B19001A_006M,B19001A_006MA",NA,NA
B19001A_007E,"Estimate!!Total!!$30,000 to $34,999",int,B19001A,0,"B19001A_007EA,B19001A_007M,B19001A_007MA",NA,NA
B08519_029E,"Estimate!!Total!!Public transportation (excluding taxicab)!!$1 to $9,999 or loss",int,B08519,0,"B08519_029EA,B08519_029M,B08519_029MA",NA,NA
B25127_069E,Estimate!!Total!!Renter occupied!!Built 1939 or earlier!!2 to 4,int,B25127,0,"B25127_069EA,B25127_069M,B25127_069MA",NA,NA
B07401_001E,Estimate!!Total living in area 1 year ago,int,B07401,0,"B07401_001EA,B07401_001M,B07401_001MA",NA,NA
B05003A_005E,Estimate!!Total!!Male!!Under 18 years!!Foreign born,int,B05003A,0,"B05003A_005EA,B05003A_005M,B05003A_005MA",NA,NA
B25087_020E,Estimate!!Total!!Housing units without a mortgage!!$100 to $149,int,B25087,0,"B25087_020EA,B25087_020M,B25087_020MA",NA,NA
B25127_068E,"Estimate!!Total!!Renter occupied!!Built 1939 or earlier!!1, detached  or attached",int,B25127,0,"B25127_068EA,B25127_068M,B25127_068MA",NA,NA
B19001A_001E,Estimate!!Total,int,B19001A,0,"B19001A_001EA,B19001A_001M,B19001A_001MA",NA,NA
B07401_002E,Estimate!!Total living in area 1 year ago!!1 to 4 years,int,B07401,0,"B07401_002EA,B07401_002M,B07401_002MA",NA,NA
B05003A_004E,Estimate!!Total!!Male!!Under 18 years!!Native,int,B05003A,0,"B05003A_004EA,B05003A_004M,B05003A_004MA",NA,NA
B08519_027E,"Estimate!!Total!!Car, truck, or van - carpooled!!$75,000 or more",int,B08519,0,"B08519_027EA,B08519_027M,B08519_027MA",NA,NA
B19001A_002E,"Estimate!!Total!!Less than $10,000",int,B19001A,0,"B19001A_002EA,B19001A_002M,B19001A_002MA",NA,NA
B05003A_003E,Estimate!!Total!!Male!!Under 18 years,int,B05003A,0,"B05003A_003EA,B05003A_003M,B05003A_003MA",NA,NA
B25087_022E,Estimate!!Total!!Housing units without a mortgage!!$200 to $249,int,B25087,0,"B25087_022EA,B25087_022M,B25087_022MA",NA,NA
B08519_028E,Estimate!!Total!!Public transportation (excluding taxicab),int,B08519,0,"B08519_028EA,B08519_028M,B08519_028MA",NA,NA
B05003A_002E,Estimate!!Total!!Male,int,B05003A,0,"B05003A_002EA,B05003A_002M,B05003A_002MA",NA,NA
B19001A_003E,"Estimate!!Total!!$10,000 to $14,999",int,B19001A,0,"B19001A_003EA,B19001A_003M,B19001A_003MA",NA,NA
B25087_021E,Estimate!!Total!!Housing units without a mortgage!!$150 to $199,int,B25087,0,"B25087_021EA,B25087_021M,B25087_021MA",NA,NA
B25127_065E,Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!50 or more,int,B25127,0,"B25127_065EA,B25127_065M,B25127_065MA",NA,NA
B25127_064E,Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!20 to 49,int,B25127,0,"B25127_064EA,B25127_064M,B25127_064MA",NA,NA
B20005E_039E,"Estimate!!Total!!Male!!Other!!With earnings!!$25,000 to $29,999",int,B20005E,0,"B20005E_039EA,B20005E_039M,B20005E_039MA",NA,NA
B25127_067E,Estimate!!Total!!Renter occupied!!Built 1939 or earlier,int,B25127,0,"B25127_067EA,B25127_067M,B25127_067MA",NA,NA
B25113_001E,Estimate!!Median gross rent!!Total,int,B25113,0,"B25113_001EA,B25113_001M,B25113_001MA",NA,NA
B25127_066E,"Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!Mobile home, boat, RV, van, etc.",int,B25127,0,"B25127_066EA,B25127_066M,B25127_066MA",NA,NA
B20001_008E,"Estimate!!Total!!Male!!$12,500 to $14,999",int,B20001,0,"B20001_008EA,B20001_008M,B20001_008MA",NA,NA
B19001A_008E,"Estimate!!Total!!$35,000 to $39,999",int,B19001A,0,"B19001A_008EA,B19001A_008M,B19001A_008MA",NA,NA
B25127_061E,"Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!1, detached  or attached",int,B25127,0,"B25127_061EA,B25127_061M,B25127_061MA",NA,NA
B20005E_036E,"Estimate!!Total!!Male!!Other!!With earnings!!$17,500 to $19,999",int,B20005E,0,"B20005E_036EA,B20005E_036M,B20005E_036MA",NA,NA
B25032C_001E,Estimate!!Total,int,B25032C,0,"B25032C_001EA,B25032C_001M,B25032C_001MA",NA,NA
B20001_009E,"Estimate!!Total!!Male!!$15,000 to $17,499",int,B20001,0,"B20001_009EA,B20001_009M,B20001_009MA",NA,NA
B25127_060E,Estimate!!Total!!Renter occupied!!Built 1940 to 1959,int,B25127,0,"B25127_060EA,B25127_060M,B25127_060MA",NA,NA
B19001A_009E,"Estimate!!Total!!$40,000 to $44,999",int,B19001A,0,"B19001A_009EA,B19001A_009M,B19001A_009MA",NA,NA
B20005E_038E,"Estimate!!Total!!Male!!Other!!With earnings!!$22,500 to $24,999",int,B20005E,0,"B20005E_038EA,B20005E_038M,B20005E_038MA",NA,NA
B20005E_037E,"Estimate!!Total!!Male!!Other!!With earnings!!$20,000 to $22,499",int,B20005E,0,"B20005E_037EA,B20005E_037M,B20005E_037MA",NA,NA
B25032C_002E,"Estimate!!Total!!1, detached",int,B25032C,0,"B25032C_002EA,B25032C_002M,B25032C_002MA",NA,NA
B25127_063E,Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!5 to 19,int,B25127,0,"B25127_063EA,B25127_063M,B25127_063MA",NA,NA
B20001_006E,"Estimate!!Total!!Male!!$7,500 to $9,999",int,B20001,0,"B20001_006EA,B20001_006M,B20001_006MA",NA,NA
B12007D_002E,Estimate!!Median age at first marriage!!Female,float,B12007D,0,"B12007D_002EA,B12007D_002M,B12007D_002MA",NA,NA
B19113G_001E,Estimate!!Median family income in the past 12 months (in 2010 inflation-adjusted dollars),int,B19113G,0,"B19113G_001EA,B19113G_001M,B19113G_001MA",NA,NA
B20005E_034E,"Estimate!!Total!!Male!!Other!!With earnings!!$12,500 to $14,999",int,B20005E,0,"B20005E_034EA,B20005E_034M,B20005E_034MA",NA,NA
B25032C_003E,"Estimate!!Total!!1, attached",int,B25032C,0,"B25032C_003EA,B25032C_003M,B25032C_003MA",NA,NA
B25127_062E,Estimate!!Total!!Renter occupied!!Built 1940 to 1959!!2 to 4,int,B25127,0,"B25127_062EA,B25127_062M,B25127_062MA",NA,NA
B12007D_001E,Estimate!!Median age at first marriage!!Male,float,B12007D,0,"B12007D_001EA,B12007D_001M,B12007D_001MA",NA,NA
B20001_007E,"Estimate!!Total!!Male!!$10,000 to $12,499",int,B20001,0,"B20001_007EA,B20001_007M,B20001_007MA",NA,NA
B20005E_035E,"Estimate!!Total!!Male!!Other!!With earnings!!$15,000 to $17,499",int,B20005E,0,"B20005E_035EA,B20005E_035M,B20005E_035MA",NA,NA
B25032C_004E,Estimate!!Total!!2,int,B25032C,0,"B25032C_004EA,B25032C_004M,B25032C_004MA",NA,NA
B20005E_031E,"Estimate!!Total!!Male!!Other!!With earnings!!$5,000 to $7,499",int,B20005E,0,"B20005E_031EA,B20005E_031M,B20005E_031MA",NA,NA
B24126_428E,"Estimate!!Total!!Rolling machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_428EA,B24126_428M,B24126_428MA",NA,NA
B25087_009E,Estimate!!Total!!Housing units with a mortgage!!$700 to $799,int,B25087,0,"B25087_009EA,B25087_009M,B25087_009MA",NA,NA
B05007_079E,Estimate!!Total!!Latin America!!South America!!Entered before 1980,int,B05007,0,"B05007_079EA,B05007_079M,B05007_079MA",NA,NA
B20001_027E,"Estimate!!Total!!Female!!$7,500 to $9,999",int,B20001,0,"B20001_027EA,B20001_027M,B20001_027MA",NA,NA
B20005E_030E,"Estimate!!Total!!Male!!Other!!With earnings!!$2,500 to $4,999",int,B20005E,0,"B20005E_030EA,B20005E_030M,B20005E_030MA",NA,NA
B17010A_039E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 5 years and 5 to 17 years",int,B17010A,0,"B17010A_039EA,B17010A_039M,B17010A_039MA",NA,NA
B24126_429E,"Estimate!!Total!!Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_429EA,B24126_429M,B24126_429MA",NA,NA
B20001_025E,"Estimate!!Total!!Female!!$2,500 to $4,999",int,B20001,0,"B20001_025EA,B20001_025M,B20001_025MA",NA,NA
B20001_026E,"Estimate!!Total!!Female!!$5,000 to $7,499",int,B20001,0,"B20001_026EA,B20001_026M,B20001_026MA",NA,NA
B17010A_038E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present!!With related children under 18 years!!Under 5 years only",int,B17010A,0,"B17010A_038EA,B17010A_038M,B17010A_038MA",NA,NA
B20005E_033E,"Estimate!!Total!!Male!!Other!!With earnings!!$10,000 to $12,499",int,B20005E,0,"B20005E_033EA,B20005E_033M,B20005E_033MA",NA,NA
B24126_426E,"Estimate!!Total!!Extruding and drawing machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_426EA,B24126_426M,B24126_426MA",NA,NA
B05007_077E,Estimate!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Naturalized U.S. citizen,int,B05007,0,"B05007_077EA,B05007_077M,B05007_077MA",NA,NA
B20001_029E,"Estimate!!Total!!Female!!$12,500 to $14,999",int,B20001,0,"B20001_029EA,B20001_029M,B20001_029MA",NA,NA
B25087_007E,Estimate!!Total!!Housing units with a mortgage!!$500 to $599,int,B25087,0,"B25087_007EA,B25087_007M,B25087_007MA",NA,NA
B17010A_037E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present!!With related children under 18 years",int,B17010A,0,"B17010A_037EA,B17010A_037M,B17010A_037MA",NA,NA
B20005E_032E,"Estimate!!Total!!Male!!Other!!With earnings!!$7,500 to $9,999",int,B20005E,0,"B20005E_032EA,B20005E_032M,B20005E_032MA",NA,NA
B25113_007E,Estimate!!Median gross rent!!Total!!Moved in 1969 or earlier,int,B25113,0,"B25113_007EA,B25113_007M,B25113_007MA",NA,NA
B24126_427E,"Estimate!!Total!!Forging machine setters, operators, and tenders, metal and plastic",int,B24126,0,"B24126_427EA,B24126_427M,B24126_427MA",NA,NA
B25087_008E,Estimate!!Total!!Housing units with a mortgage!!$600 to $699,int,B25087,0,"B25087_008EA,B25087_008M,B25087_008MA",NA,NA
B05007_078E,Estimate!!Total!!Latin America!!South America!!Entered 1980 to 1989!!Not a U.S. citizen,int,B05007,0,"B05007_078EA,B05007_078M,B05007_078MA",NA,NA
B20001_028E,"Estimate!!Total!!Female!!$10,000 to $12,499",int,B20001,0,"B20001_028EA,B20001_028M,B20001_028MA",NA,NA
B25113_006E,Estimate!!Median gross rent!!Total!!Moved in 1970 to 1979,int,B25113,0,"B25113_006EA,B25113_006M,B25113_006MA",NA,NA
B24126_424E,"Estimate!!Total!!Food processing workers, all other",int,B24126,0,"B24126_424EA,B24126_424M,B24126_424MA",NA,NA
B24121_243E,Estimate!!Total!!Animal trainers,int,B24121,0,"B24121_243EA,B24121_243M,B24121_243MA",NA,NA
B20001_022E,"Estimate!!Total!!Male!!$100,000 or more",int,B20001,0,"B20001_022EA,B20001_022M,B20001_022MA",NA,NA
B17010A_036E,"Estimate!!Total!!Income in the past 12 months at or above poverty level!!Other family!!Female householder, no husband present",int,B17010A,0,"B17010A_036EA,B17010A_036M,B17010A_036MA",NA,NA
